2/12/2025 3:46:52 pm Start analysis...
2/12/2025 3:46:52 pm Loading Dataset...
2/12/2025 3:46:52 pm Done!
2/12/2025 3:46:52 pm Starting pattern search...
2/12/2025 3:46:52 pm Searching All Instantiate Methods Structure...
2/12/2025 3:46:52 pm Analyzing: CricleAnimation
2/12/2025 3:46:52 pm Analyzing: JoyStickControl
2/12/2025 3:46:52 pm Analyzing: LevelComplete
2/12/2025 3:46:52 pm Analyzing: MainMenu
2/12/2025 3:46:52 pm Analyzing: PauseNResume
2/12/2025 3:46:52 pm Analyzing: PlayerTriggers
2/12/2025 3:46:52 pm Analyzing: Timer
2/12/2025 3:46:52 pm Analyzing: AttachToElevator
2/12/2025 3:46:52 pm Analyzing: CameraControls
2/12/2025 3:46:52 pm Analyzing: CarGenerator
2/12/2025 3:46:52 pm Analyzing: Carscript
2/12/2025 3:46:52 pm Analyzing: Control
2/12/2025 3:46:52 pm Analyzing: RigidbodyModifier
2/12/2025 3:46:52 pm Analyzing: Scoremanager
2/12/2025 3:46:52 pm Analyzing: Star
2/12/2025 3:46:52 pm Analyzing: TrafficLights
2/12/2025 3:46:52 pm Analyzing: WheelchairController
2/12/2025 3:46:52 pm Analyzing: WinLose
2/12/2025 3:46:52 pm Analyzing: ConditionalHideAttribute
2/12/2025 3:46:52 pm Analyzing: VRWC_GrabPoint
2/12/2025 3:46:52 pm Analyzing: VRWC_MeshAnimator
2/12/2025 3:46:52 pm Analyzing: VRWC_WheelAudio
2/12/2025 3:46:52 pm Analyzing: VRWC_WheelInteractable
2/12/2025 3:46:52 pm Analyzing: VRWC_FollowTransform
2/12/2025 3:46:52 pm Analyzing: VRWC_RigidbodyModifier
2/12/2025 3:46:52 pm Analyzing: VRWC_XRNodeVelocitySupplier
2/12/2025 3:46:52 pm Done!
2/12/2025 3:46:52 pm Searching Transform.Find Methods Structure...
2/12/2025 3:46:52 pm Analyzing: CricleAnimation
2/12/2025 3:46:52 pm Analyzing: JoyStickControl
2/12/2025 3:46:52 pm Analyzing: LevelComplete
2/12/2025 3:46:52 pm Analyzing: MainMenu
2/12/2025 3:46:52 pm Analyzing: PauseNResume
2/12/2025 3:46:52 pm Analyzing: PlayerTriggers
2/12/2025 3:46:52 pm Analyzing: Timer
2/12/2025 3:46:52 pm Analyzing: AttachToElevator
2/12/2025 3:46:52 pm Analyzing: CameraControls
2/12/2025 3:46:52 pm Analyzing: CarGenerator
2/12/2025 3:46:52 pm Analyzing: Carscript
2/12/2025 3:46:52 pm Analyzing: Control
2/12/2025 3:46:52 pm Analyzing: RigidbodyModifier
2/12/2025 3:46:52 pm Analyzing: Scoremanager
2/12/2025 3:46:52 pm Analyzing: Star
2/12/2025 3:46:52 pm Analyzing: TrafficLights
2/12/2025 3:46:52 pm Analyzing: WheelchairController
2/12/2025 3:46:52 pm Analyzing: WinLose
2/12/2025 3:46:52 pm Analyzing: ConditionalHideAttribute
2/12/2025 3:46:52 pm Analyzing: VRWC_GrabPoint
2/12/2025 3:46:52 pm Analyzing: VRWC_MeshAnimator
2/12/2025 3:46:52 pm Analyzing: VRWC_WheelAudio
2/12/2025 3:46:52 pm Analyzing: VRWC_WheelInteractable
2/12/2025 3:46:52 pm Analyzing: VRWC_FollowTransform
2/12/2025 3:46:52 pm Analyzing: VRWC_RigidbodyModifier
2/12/2025 3:46:52 pm Analyzing: VRWC_XRNodeVelocitySupplier
2/12/2025 3:46:52 pm Done!
2/12/2025 3:46:52 pm Searching GameObject.FindWithTag Methods Structure...
2/12/2025 3:46:52 pm Analyzing: CricleAnimation
2/12/2025 3:46:52 pm Analyzing: JoyStickControl
2/12/2025 3:46:52 pm Analyzing: LevelComplete
2/12/2025 3:46:52 pm Analyzing: MainMenu
2/12/2025 3:46:52 pm Analyzing: PauseNResume
2/12/2025 3:46:52 pm Analyzing: PlayerTriggers
